Country	x	y	Reading	Mathematics	Science
Austria	415.23	279.06	470	496	494
Belgium	387.78	361.60	506	515	507
Bulgaria	133.73	246.08	429	428	439
Croatia	174.34	278.14	476	460	486
Cyprus	211.89	228.99			
Czech Republic	259.82	321.19	478	493	500
Denmark	375.04	408.15	495	503	499
Estonia	192.65	313.56	501	512	528
Finland	363.02	322.41	536	541	554
France	339.29	395.26	496	497	498
Germany	366.38	352.33	497	513	520
Greece	302.26	263.18	483	466	470
Hungary	189.91	326.69	494	490	503
Iceland	393.46	421.31	500	507	496
Ireland	383.78	326.69	496	487	508
Italy	312.03	335.54	486	483	489
Japan	348.02	382.24	520	529	539
Latvia	145.33	237.54	484	482	494
Lithuania	159.99	242.42	468	477	491
Malta	260.43	305.01			
Netherlands	414.62	332.18	508	526	522
Norway	564.56	361.87	503	498	500
Poland	188.69	286.39	500	495	508
Portugal	233.87	313.25	489	487	493
Romania	114.49	272.65	424	427	428
Slovakia	222.58	289.13	477	497	490
Slovenia	287.91	326.08	483	501	512
Spain	300.74	355.36	481	483	488
Sweden	401.64	401.64	497	494	495
Switzerland	439.35	302.26	501	534	517
Turkey	121.52	137.39	464	445	454
United Kingdom	356.33	365.62	494	492	514
USA	487.28	203.34	500	487	502
