"Isotope"	"Halflife"	"Abundance"
"3H"	12.33	NA
"7Be"	0.145534246575342	NA
"10Be"	1510000	NA
"11Be"	4.37912227295789e-07	NA
"10C"	6.10572044647387e-07	NA
"11C"	3.87937595129376e-05	NA
"14C"	5730	NA
"15C"	7.76572805682395e-08	NA
"16C"	2.36872146118721e-08	NA
"13N"	1.89592846270928e-05	NA
"16N"	2.26090816844242e-07	NA
"17N"	1.3232496194825e-07	NA
"19N"	9.63977676306443e-09	NA
"14O"	2.23890157280568e-06	NA
"15O"	3.87620497209538e-06	NA
"19O"	8.53310502283105e-07	NA
"20O"	4.2839928970066e-07	NA
"21O"	1.08447488584475e-07	NA
"22O"	7.13470319634703e-08	NA
"17F"	2.04496448503298e-06	NA
"18F"	0.00020884703196347	NA
"20F"	3.4880771182141e-07	NA
"21F"	1.31849315068493e-07	NA
"22F"	1.34132420091324e-07	NA
"23F"	7.0712836123795e-08	NA
"24F"	1.078132927448e-08	NA
"19Ne"	5.46042617960426e-07	NA
"23Ne"	1.18087265347539e-06	NA
"24Ne"	6.43074581430746e-06	NA
"29Ne"	6.34195839675292e-09	NA
"21Na"	7.13153221714865e-07	NA
"22Na"	2.6019	NA
"24Na"	0.00170764840182648	NA
"25Na"	1.87404870624049e-06	NA
"26Na"	3.39928970065956e-08	NA
"22Mg"	1.2230466768138e-07	NA
"23Mg"	3.58859715880264e-07	NA
"27Mg"	1.79946727549467e-05	NA
"28Mg"	0.00238698630136986	NA
"29Mg"	4.1222729578894e-08	NA
"23Al"	1.49036022323694e-08	NA
"24Al"	6.51002029426687e-08	NA
"25Al"	2.27771435819381e-07	NA
"26Al"	717000	NA
"26m1Al"	2.01204972095383e-07	NA
"28Al"	4.2644596651446e-06	NA
"29Al"	1.24809741248097e-05	NA
"30Al"	1.14155251141553e-07	NA
"26Si"	7.08396752917301e-08	NA
"27Si"	1.31912734652461e-07	NA
"31Si"	0.00029927701674277	NA
"32Si"	150	NA
"33Si"	1.95966514459665e-07	NA
"34Si"	8.78361237950279e-08	NA
"35Si"	2.47336377473364e-08	NA
"36Si"	1.42694063926941e-08	NA
"29P"	1.31278538812785e-07	NA
"30P"	4.75266362252664e-06	NA
"32P"	0.0390739726027397	NA
"33P"	0.0694246575342466	NA
"34P"	3.94152714358194e-07	NA
"35P"	1.49987316083206e-06	NA
"36P"	1.77574835109082e-07	NA
"37P"	7.32496194824962e-08	NA
"38P"	2.02942668696093e-08	NA
"39P"	5.07356671740233e-09	NA
"30S"	3.73541349568747e-08	NA
"31S"	8.15575849822425e-08	NA
"35S"	0.239232876712329	NA
"37S"	9.60806697108067e-06	NA
"38S"	0.000324010654490107	NA
"39S"	3.64662607813293e-07	NA
